,X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL,uni
2429,pIqvGqhJEeaZwBIdLOcDZg,pIqvGqhJEeaZwBIdLOcDZg,COURSE,Understanding Prostate Cancer,6,4.760204082,6906,196,Johns Hopkins University,Beginner,https://www.coursera.org/learn/prostate-cancer,TRUE
2430,ioV7G90EEeaKoApvqCabVA,ioV7G90EEeaKoApvqCabVA,COURSE,Finanzas para directivos,16,4.9,1199,70,IESE Business School,Beginner,https://www.coursera.org/learn/finanzas-operativas,TRUE
2431,f-ztYb38EeWiUQ7uWZhJhw,f-ztYb38EeWiUQ7uWZhJhw,COURSE,Mastering bitumen for better roads and innovative applications,10,4.729927007,5443,137,École des Ponts ParisTech,Intermediate,https://www.coursera.org/learn/mastering-bitumen,TRUE
2432,eNZaxJisEee0gxKMK_gOOA,eNZaxJisEee0gxKMK_gOOA,COURSE,Toxicology 21: Scientific Applications,27,4.666666667,2620,24,Johns Hopkins University,Intermediate,https://www.coursera.org/learn/toxicology-21,TRUE
2433,cS6r05iOEeW5gxKDBxYMJw,cS6r05iOEeW5gxKDBxYMJw,COURSE,Creating and Developing a Tech Startup,18,4.244897959,12712,49,HEC Paris,Mixed,https://www.coursera.org/learn/tech-startup,TRUE
2434,c20ET-PsEeavJhLJu8-cXg,c20ET-PsEeavJhLJu8-cXg,COURSE,Lean Software Development,13,4.275862069,4729,87,University of Minnesota,Beginner,https://www.coursera.org/learn/lean-software-development,TRUE
2435,b6AxviyUEea8-BJ7AvBU3Q,b6AxviyUEea8-BJ7AvBU3Q,COURSE,唐詩新思路 (Tang Poetry),23,4.90960452,7528,177,National Taiwan University,Beginner,https://www.coursera.org/learn/tang-poems,TRUE
2436,V1k0pBtIEemZRAqH7m9oGA,V1k0pBtIEemZRAqH7m9oGA,COURSE,Identifying Security Vulnerabilities,18,4.470588235,1045,17,"University of California, Davis",Intermediate,https://www.coursera.org/learn/identifying-security-vulnerabilities,TRUE
2437,Rw3kIzyiEea1eg6YQeunOw,Rw3kIzyiEea1eg6YQeunOw,COURSE,Matrix Factorization and Advanced Techniques,8,4.290780142,9452,141,University of Minnesota,Mixed,https://www.coursera.org/learn/matrix-factorization,TRUE
2438,QH3jq7RDEeeMiQ4Nm9ulJA,QH3jq7RDEeeMiQ4Nm9ulJA,COURSE,Innovating with the Business Model Canvas,7,4.555555556,3628,63,University of Virginia,Beginner,https://www.coursera.org/learn/uva-darden-innovation-business-model-canvas,TRUE
2440,KKG9wuGAEeWjnA60cJ9qfw,KKG9wuGAEeWjnA60cJ9qfw,COURSE,A Circular Economy of Metals: Towards a Sustainable Societal Metabolism,20,4.842105263,2677,38,Universiteit Leiden,Beginner,https://www.coursera.org/learn/circular-economy-metals,TRUE
2441,A6Ofa6oREee_FhKpZrJ4bA,A6Ofa6oREee_FhKpZrJ4bA,COURSE,Docencia para la capacitación laboral y el aprendizaje a lo largo de la vida.,13,4.609375,4549,64,Universidad de Chile,Intermediate,https://www.coursera.org/learn/docencia-capacitacion-laboral,TRUE
2443,wIiu6ShLEeabkA6A3tuC4Q,wIiu6ShLEeabkA6A3tuC4Q,COURSE,Transmedia Writing,24,4.482758621,6815,29,Michigan State University,Beginner,https://www.coursera.org/learn/transmedia-writing,TRUE
