X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL
6Ot9qdTjEeWvEArBkQ8C9Q,6Ot9qdTjEeWvEArBkQ8C9Q,COURSE,Confronting Gender Based Violence: Global Lessons for Healthcare Workers,16,4.763636363636364,10651,110,Johns Hopkins University,Beginner,https://www.coursera.org/learn/gender-based-violence
y5G1vZheEeWF6gpQJiw6hQ,y5G1vZheEeWF6gpQJiw6hQ,COURSE,Dino 101: Dinosaur Paleobiology,16,4.904513888888889,23758,1152,University of Alberta,Beginner,https://www.coursera.org/learn/dino101
rgBZRpwaEeafIQpJGWIzpg,rgBZRpwaEeafIQpJGWIzpg,COURSE,Introduction to Economic Theories,28,4.492753623188406,13742,69,Erasmus University Rotterdam,Beginner,https://www.coursera.org/learn/intro-economic-theories
s_UQK4dZEea7gQ7SGpLMJw,s_UQK4dZEea7gQ7SGpLMJw,COURSE,Business English: Finance and Economics,11,4.664921465968586,9733,191,Arizona State University,Intermediate,https://www.coursera.org/learn/finance-economics-english
oevpufy2Eeio4BIihiZW_g,oevpufy2Eeio4BIihiZW_g,COURSE,Machine Learning for Business Professionals,17,4.559241706161138,9580,211,Google Cloud,Intermediate,https://www.coursera.org/learn/machine-learning-business-professionals
KK4EhXQMEeSc3CIACrbZqg,KK4EhXQMEeSc3CIACrbZqg,COURSE,Financing and Investing in Infrastructure,18,4.810526315789474,20040,855,Università Bocconi,Mixed,https://www.coursera.org/learn/infrastructure-investing
eKJIPOAMEeelCBLoDv22aA,eKJIPOAMEeelCBLoDv22aA,COURSE,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",7,4.759433962264151,15042,636,University of Copenhagen,Beginner,https://www.coursera.org/learn/global-sustainable-development
PsTsfU0LEeWfzRIay-bDMQ,PsTsfU0LEeWfzRIay-bDMQ,COURSE,Mountains 101,18,4.862745098039215,30161,867,University of Alberta,Mixed,https://www.coursera.org/learn/mountains-101
gkMKPVDMEeWfzRIay-bDMQ,gkMKPVDMEeWfzRIay-bDMQ,COURSE,Introducción a la guitarra,25,4.818930041152264,29807,243,"Berklee College of Music, Banco Interamericano de Desarrollo",Mixed,https://www.coursera.org/learn/guitarra
P_O_iZfiEeWZyg6bf_Oxkw,P_O_iZfiEeWZyg6bf_Oxkw,COURSE,Implant Dentistry,17,4.8825,21836,800,The University of Hong Kong,Mixed,https://www.coursera.org/learn/implant-dentistry
4ftx8FVoEeWoihJUyvgO6w,4ftx8FVoEeWoihJUyvgO6w,COURSE,Children's Human Rights - An Interdisciplinary Introduction,14,4.666232073011734,29000,767,University of Geneva,Beginner,https://www.coursera.org/learn/childrens-rights
oZwETNccEeSV9iIAC0wBBw,oZwETNccEeSV9iIAC0wBBw,COURSE,High-Impact Business Writing,6,4.317857142857143,110677,1400,"University of California, Irvine",Mixed,https://www.coursera.org/learn/business-writing
-4ffSHNYEeWIfhKr_WcYsQ,-4ffSHNYEeWIfhKr_WcYsQ,COURSE,Reproducible Research,11,4.539709649871904,53914,3513,Johns Hopkins University,Mixed,https://www.coursera.org/learn/reproducible-research
Y26ZS0Q4EeiUTQp9cpO08g,Y26ZS0Q4EeiUTQp9cpO08g,COURSE,Summary Statistics in Public Health,14,4.790322580645161,6488,310,Johns Hopkins University,Beginner,https://www.coursera.org/learn/summary-statistics
OPehmvpeEeSTISIAC3lNCw,OPehmvpeEeSTISIAC3lNCw,COURSE,Egiptología (Egyptology),50,4.87701317715959,36462,683,Universitat Autònoma de Barcelona,Beginner,https://www.coursera.org/learn/egypt
ClCx1sbdEeShXyIAC5MC2w,ClCx1sbdEeShXyIAC5MC2w,COURSE,EDIVET: Do you have what it takes to be a veterinarian?,11,4.739594450373533,29017,937,The University of Edinburgh,Mixed,https://www.coursera.org/learn/becoming-a-veterinarian
Af9tmQitEeaXahL027DW1w,Af9tmQitEeaXahL027DW1w,COURSE,Supply Chain Operations,11,4.755443886097153,18186,1194,Rutgers the State University of New Jersey,Beginner,https://www.coursera.org/learn/operations
nCS5FnYhEeeRdgqk8_JAvA,nCS5FnYhEeeRdgqk8_JAvA,COURSE,Introduction to MongoDB,17,4.436440677966102,20547,236,MongoDB Inc.,Intermediate,https://www.coursera.org/learn/introduction-mongodb
c4C7Kpm0EemfgRICI_I3ug,c4C7Kpm0EemfgRICI_I3ug,COURSE,AWS Fundamentals: Migrating to the Cloud,13,4.780487804878049,6116,41,Amazon Web Services,Intermediate,https://www.coursera.org/learn/aws-fundamentals-cloud-migration
AQ9Go5hyEeWqkw5zNB248Q,AQ9Go5hyEeWqkw5zNB248Q,COURSE,Building Cloud Services with the Java Spring Framework,20,4.571428571428571,7150,49,Vanderbilt University,Intermediate,https://www.coursera.org/learn/cloud-services-java-spring-framework
hA1Im-ckEeWxKxKZYzDvkw,hA1Im-ckEeWxKxKZYzDvkw,COURSE,操作系统原理（Operating Systems）,32,4.657243816254417,24893,283,Peking University,Intermediate,https://www.coursera.org/learn/os-pku
HIUPOchIEeSA1yIACye2oA,HIUPOchIEeSA1yIACye2oA,COURSE,Art & Activity: Interactive Strategies for Engaging with Art,9,4.749336870026525,65041,754,The Museum of Modern Art,Mixed,https://www.coursera.org/learn/art-activity
LZZg6vhQEeWfYgqbi1xsdw,LZZg6vhQEeWfYgqbi1xsdw,COURSE,Chinese Characters for beginner 汉字,28,4.688775510204081,17125,196,Peking University,Beginner,https://www.coursera.org/learn/hanzi
r938sa1xEeeTdQ7VF-D76g,r938sa1xEeeTdQ7VF-D76g,COURSE,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,11,4.631111111111111,11689,225,The University of Sydney,Intermediate,https://www.coursera.org/learn/design-strategy
_-SeZWb9EeWXpwqLqkqVsw,_-SeZWb9EeWXpwqLqkqVsw,COURSE,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,16,4.913649025069638,27474,718,National Taiwan University,Beginner,https://www.coursera.org/learn/ntumlone-mathematicalfoundations
5C869I0GEee0fRKo2d-8ug,5C869I0GEee0fRKo2d-8ug,COURSE,Базы данных (Databases),20,4.268115942028985,11773,138,Saint Petersburg State University,Mixed,https://www.coursera.org/learn/data-bases-intr
